1633713	Influenza A virus (A/chicken/Egypt/1439CAL/2014(H5N1))
1633710	Influenza A virus (A/recombinant/USD_RG111(H1))
1633711	Influenza A virus (A/chicken/Egypt/1427AF/2014(H5N1))
1633716	Influenza A virus (A/chicken/Egypt/1478CA/2014(H5N1))
1633717	Influenza A virus (A/chicken/Egypt/147CAI/2014(H5N1))
1633714	Influenza A virus (A/chicken/Egypt/143AI/2014(H5N1))
1633715	Influenza A virus (A/chicken/Egypt/1456CAL/2014(H5N1))
1633718	Influenza A virus (A/chicken/Egypt/1487CA/2014(H5N1))
1633719	Influenza A virus (A/duck/Egypt/14154FAOS/2014(H5N1))
158287	Phellinus sp. Km-2
158288	Phellinus sp. Km-3
158289	Phellinus sp. Km-4
192059	Termitaria sp. IHEY1
192058	Termitaria sp. YAKU3
192055	Termitaria sp. YOKO1
192056	Termitaria sp. MEIW1
250816	Streptosporangium sp. 319C07
250817	Streptosporangium sp. 319C08
250814	Micromonospora sp. 319C04
250815	Streptosporangium sp. 319C06
250813	Streptosporangium sp. 319C03
250810	Streptosporangium sp. 319B10
192052	Termitaria sp. FUJI1
1032524	Mrakia sp. Shimaiike
1032520	Mrakia sp. Tokkuriike-2
1032521	Mrakia sp. Tokkuriike-3
1032522	Mrakia sp. Agehaike
1032523	Mrakia sp. Tokkuriike-1
1032528	Amanita beckeri
1032529	Amanita eliae
1262538	Lactococcus phage phi7
1262539	Vibrio phage VH7D
1090519	Norovirus Hu/GII/LVCA17413/Rio de Janeiro/BRA/2003
1090518	Norovirus Hu/GII/LVCA17375/Rio de Janeiro/BRA/2003
1262530	Halovirus HSTV-1
1090514	Norovirus Hu/GII.4/LVCA17417/Rio de Janeiro/BRA/2003
1262532	Mycobacterium phage BTCU-1
1090516	Norovirus Hu/GII.4/LVCA17425/Rio de Janeiro/BRA/2003
1090511	Norovirus Hu/GII.4/LVCA17401/Rio de Janeiro/BRA/2003
1262535	Lactococcus phage jm2
1262536	Lactococcus phage jm3
1090512	Norovirus Hu/GII.4/LVCA17402/Rio de Janeiro/BRA/2003
1434848	Micromonospora sp. NEAU-GLH9
1434840	Pseudomonas sp. JB418
1434845	Yaniella sp. RDYan
1434847	Arthrobacter sp. JB199
1434846	Alcaligenes sp. Win5
1761680	Purpureocillium sp. A5
750459	Influenza A virus (A/Minfang/626/2001(H1N1))
750458	Influenza A virus (A/Minfang/499/2001(H1N1))
750455	Influenza A virus (A/Min/521/2001(H1N1))
750454	Influenza A virus (A/Fujian/8/2006(H1N1))
750457	Influenza A virus (A/Minfang/383/2001(H1N1))
750456	Influenza A virus (A/Minfang/214/2002(H1N1))
750451	Influenza A virus (A/Fujian/305/1997(H1N1))
750450	Influenza A virus (A/Fujian/273/1997(H1N1))
750453	Influenza A virus (A/Fujian/521/2001(H1N1))
750452	Influenza A virus (A/Fujian/429/2001(H1N1))
151195	Pseudomonas sp. GOBB3-105
151194	Pseudomonas sp. GOBB3-104-2
151197	Pseudomonas sp. GOBB3-207
151196	Pseudomonas sp. GOBB3-219
151191	Pseudomonas sp. GOBB3-101
151193	Pseudomonas sp. GOBB3-104
151192	Pseudomonas sp. GOBB3-106
151198	Acinetobacter sp. GOBB3-C105
1402574	Pseudomonas aeruginosa C40
1402575	Pseudomonas aeruginosa C41
1402576	Pseudomonas aeruginosa C48
1402577	Pseudomonas aeruginosa C51
1402570	Pseudomonas aeruginosa M8A.4
1402571	Pseudomonas aeruginosa M9A.1
1402572	Pseudomonas aeruginosa C20
1402573	Pseudomonas aeruginosa C23
1402578	Pseudomonas aeruginosa C52
1402579	Pseudomonas aeruginosa CF77
1035139	Laccaria bicolor S238N-H53
694519	Escherichia coli MV7501
694518	Escherichia coli MV4246
694513	Bipolaris maydis Hm338
694512	Influenza A virus (A/teal/Tynda/6114/2008(H10N6))
694511	Influenza A virus (A/teal/Chany/769/2008(H4N6))
694517	Escherichia coli MV4244
694516	Escherichia coli MV4243
694515	Escherichia coli MV4242
694514	Escherichia coli MV4241
996886	Graphis japonica
996887	Graphis librata
996884	Graphis furcata
996885	Graphis illinata
996882	Graphis dichotoma
996883	Graphis dupaxana
996880	Pestalotiopsis sp. Z4-08
996881	Graphis angustata
996888	Graphis proserpens
996889	Graphis pseudocinerea
1560945	Micromonosporaceae bacterium D2D45
1038904	Actinomadura sediminis
1038901	Acinetobacter sp. RKJ 9
372928	fungal sp. B1-(2)II2
561224	Talaromyces chloroloma
561225	Penicillium sp. CMV-2008b
561226	Talaromyces ptychoconidium
561227	Penicillium sp. CMV-2008d
561228	Penicillium cf. rugulosum CMV-2008
31764	Hepatitis delta virus (isolate woodchuck)
31766	Hepatitis E virus (isolate rhesus)
31767	Hepatitis E virus (strain Burma)
31760	Colitis phage
31761	Eimeria nieschulzi virus
31762	Hepatitis delta virus (ISOLATE D380)
31763	Hepatitis delta virus (ISOLATE LEBANON-1)
31768	Hepatitis E virus (strain Mexico)
31769	Hepatitis E virus (strain Myanmar)
981954	Influenza A virus (A/swine/North Carolina/00187/2003(H1))
981955	Influenza A virus (A/swine/North Carolina/00329/2003(H1))
981956	Influenza A virus (A/swine/North Carolina/00236/2003(H1))
981957	Influenza A virus (A/swine/North Carolina/00333/2004(H1))
981950	Influenza A virus (A/swine/Minnesota/00555/2005(H1))
981951	Influenza A virus (A/swine/Minnesota/00560/2005(H1))
981952	Influenza A virus (A/swine/North Carolina/00175/2003(H1))
981953	Influenza A virus (A/swine/North Carolina/00125/2003(H1))
981958	Influenza A virus (A/swine/North Carolina/00261/2004(H1))
981959	Influenza A virus (A/swine/North Carolina/00265/2004(H1))
761701	Soybean mild mottle virus
761705	Tomato yellow leaf curl virus-[Genaveh:Iran]
761706	Tomato yellow leaf curl virus-[Jiroft:Iran]
435502	Acinetobacter sp. WMF-9
435501	Pseudomonas sp. SMT-9
435500	Pseudomonas sp. SK-9
435505	Pseudomonas sp. STL-5
435509	Acinetobacter sp. SMT-4
435508	Acinetobacter sp. WSL-4
1471741	Influenza A virus (A/northern pintail/Ohio/12OS3183/2012(mixed))
1471740	Influenza A virus (A/mallard/Ohio/12OS5582/2012(mixed))
1471743	Influenza A virus (A/northern shoveler/Mississippi/12OS5438/2012(mixed))
1471742	Influenza A virus (A/northern pintail/Wisconsin/12OS3076/2012(mixed))
1471745	Influenza A virus (A/mallard/Ohio/12OS1869/2012(N5))
1471744	Influenza A virus (A/northern shoveler/Missouri/12OS5807/2012(mixed))
1471747	Influenza A virus (A/mallard/Ohio/12OS3170/2012(N6))
1471746	Influenza A virus (A/American green-winged teal/Wisconsin/12OS4539/2012(N6))
1471749	Influenza A virus (A/bufflehead/Illinois/12OS4798/2012(N8))
1471748	Influenza A virus (A/mallard/Ohio/12OS5400/2013(N7))
560469	Influenza A virus (A/Taiwan/VGHYM0412-16/2006(H1N1))
560468	Influenza A virus (A/Taiwan/VGHYM0411-15/2006(H3N2))
1408954	Mycobacterium tuberculosis UT0090
1408955	Mycobacterium tuberculosis UT0091
1408957	Mycobacterium tuberculosis UT0093
1408953	Mycobacterium tuberculosis UT0089
1408958	Mycobacterium tuberculosis UT0094
1408959	Mycobacterium tuberculosis UT0096
514548	Influenza A virus (A/MACAU/482/2005(H3N2))
514544	Influenza A virus (A/LYON/636/2006(H3N2))
514547	Influenza A virus (A/MACAU/304/2004(H3N2))
514541	Influenza A virus (A/LYON/476/2003(H3N2))
514540	Influenza A virus (A/LYON/21/2004(H3N2))
514543	Influenza A virus (A/LYON/52-58/2006(H3N2))
514542	Influenza A virus (A/LYON/52-339/2006(H3N2))
1778912	Ophiocordyceps sp. TW-2015
1778911	Bat gammaherpesvirus 8
1134080	Powellomycetaceae
1134081	unclassified Powellomycetaceae
534540	Norovirus Hu/P3-14/2000/SWE
596030	Ralstonia sp. D250b
1410498	Influenza A virus (A/Stavropol/CRIE-42/2013(H1N1))
1410499	Influenza A virus (A/Stavropol/CRIE-43/2013(H1N1))
1410494	Influenza A virus (A/Orenburg/CRIE-27/2013(H1N1))
1410495	Influenza A virus (A/Orenburg/CRIE-63/2013(H1N1))
1410496	Influenza A virus (A/Stavropol/CRIE-40/2013(H1N1))
1410497	Influenza A virus (A/Stavropol/CRIE-41/2013(H1N1))
1410490	Influenza A virus (A/Moscow/CRIE-30/2013(H1N1))
1410491	Influenza A virus (A/Moscow/CRIE-31/2013(H1N1))
1410492	Influenza A virus (A/Moscow/CRIE-32/2013(H1N1))
1410493	Influenza A virus (A/Moscow/CRIE-33/2013(H1N1))
324704	Ophiostoma gossypinum var. robustum
324705	Ophiostoma angusticollis
324702	Pertusaria xanthoplaca
324703	Ophiostoma flexuosum
324700	Pertusaria mesotropa
324701	Pertusaria subverrucosa
395959	Sphingomonas sp. Y49
395958	Micrococcus sp. Y70
1736498	Aeromicrobium sp. Root236
1603539	Escovopsis sp. UT014
1603538	Escovopsis sp. UT012
1603535	Escovopsis sp. UT009
1603534	Escovopsis sp. UT008
1603537	Escovopsis sp. UT011
1603536	Escovopsis sp. UT010
1603531	Escovopsis sp. UT005
1603530	Escovopsis sp. UT004
1603533	Escovopsis sp. UT007
1603532	Escovopsis sp. UT006
1528502	Leptodontidium sp. bc_sqma_25_4f
1528503	Leptodontidium sp. ca_besc_103a
1528500	Leptodontidium sp. bc_lilb_26_5i
1528501	Leptodontidium sp. bc_pdelt_109d
1528506	Leptodontidium sp. ca_besc_211d2
1528507	Leptodontidium sp. ca_besc_246b
1528504	Leptodontidium sp. ca_besc_196a
1528505	Leptodontidium sp. ca_besc_211b
1528508	Leptodontidium sp. ca_besc_246b1
1528509	Leptodontidium sp. ca_besc_351b
1073226	Pleosporales sp. HS-05
479767	Nocardiopsis sp. 87H32-3
78358	Amanita porphyria
78359	Amanita spissacea
78357	Amanita virosa
78355	Streptomyces somaliensis
479768	Nocardiopsis sp. 94N10-1
670580	Postia placenta MAD-698-R-SB12
543149	Influenza A virus (A/chicken/Germany/R3272/2006(H5N1))
543148	Influenza A virus (A/chicken/Germany/R3234/2007(H5N1))
1328385	Klebsiella pneumoniae BWH 30
530868	Pseudomonas sp. 01WB03.3-5a
198057	Influenza B virus (B/Oslo/1870/2002)
198056	Influenza B virus (B/Oslo/1847/2002)
198055	Influenza B virus (B/Oslo/1846/2002)
198054	Influenza B virus (B/Oslo/1510/2002)
198053	Influenza B virus (B/Oslo/1329/2002)
198052	Influenza B virus (B/Oslo/668/2002)
198051	Influenza B virus (B/Oslo/2297/2001)
1792191	Williamsia sp. NQ1301-2-6
1792198	Pseudomonas sp. K80
1320522	Influenza A virus (A/Texas/47/2012(H1N1))
1320523	Influenza A virus (A/Texas/48/2012(H1N1))
1320520	Influenza A virus (A/Texas/36/2012(H1N1))
1320521	Influenza A virus (A/Texas/37/2012(H1N1))
1320526	Influenza A virus (A/Utah/06/2012(H1N1))
1320527	Influenza A virus (A/Utah/08/2012(H1N1))
1320524	Influenza A virus (A/Texas/49/2012(H1N1))
1320525	Influenza A virus (A/Utah/01/2012(H1N1))
1320528	Influenza A virus (A/Utah/09/2012(H1N1))
1320529	Influenza A virus (A/Utah/11/2012(H1N1))
204017	Influenza A virus (A/Cordoba/V185/98(H3N2))
204016	Influenza A virus (A/Buenos Aires/V235/98(H3N2))
204015	Influenza A virus (A/Buenos Aires/V191/98(H3N2))
204014	Influenza A virus (A/Buenos Aires/T28/98(H3N2))
204019	Influenza A virus (A/Cordoba/V584/98(H3N2))
204018	Influenza A virus (A/Cordoba/V391/98(H3N2))
1485976	Hysterodifractum partisporum
1336321	Phyllosticta cavendishii
1789037	Podonectria novae-zelandiae
1789036	Podonectria
1739704	Actinoallomurus sp. 145689
1739705	Actinoallomurus sp. 145698
1739700	Actinoallomurus sp. 145542
1739701	Actinoallomurus sp. 145543
1739702	Actinoallomurus sp. 145544
1739703	Actinoallomurus sp. 145546
1198035	Dietzia sp. AS68
1198037	Achromobacter sp. AS76
1198033	Achromobacter sp. AS66
947438	Pseudomonas sp. AD-C7
1500568	Influenza A virus (A/chicken/Central Java/053/2009(H5N1))
1500569	Influenza A virus (A/chicken/Central Java/056/2009(H5N1))
1500566	Pseudomonas sp. DS2
1500567	Influenza A virus (A/chicken/Banten/019/2009(H5N1))
1500564	Influenza A virus (A/swine/Indiana/A01260521/2014(H3N2))
1500562	Influenza A virus (A/swine/Indiana/A01260513/2014(H1N1))
1500563	Influenza A virus (A/swine/Indiana/A01260516/2014(H1N1))
1500560	Tilletiopsis
1500561	Influenza A virus (A/swine/Indiana/A01260496/2014(H1N1))
1799066	Xylaria sp. genotype 575
1799065	Xylaria sp. genotype 425
1799064	Xylaria sp. genotype 354
1799063	Xylaria sp. genotype 330
1799062	Xylaria sp. genotype 317
1799061	Xylaria sp. genotype 315
1799060	Xylaria sp. genotype 268
1799069	Xylariaceae sp. ARIZ AZ1047
1716513	Shigella sp. CH-38
1765068	Heracleicola
1765069	Heracleicola premilcurensis
1765061	Flammeascoma lignicola
1765062	Neolophiostoma
1765065	Absidia caatinguensis
1765066	Galliicola
1765067	Galliicola pseudophaeosphaeria
718327	Pseudomonas sp. enrichment culture clone RT7
506685	fungal yeast sp. DY2
506684	fungal yeast sp. DY1
506687	fungal yeast sp. DY4
506686	fungal yeast sp. DY3
506689	fungal yeast sp. DY6
506688	fungal yeast sp. DY5
1453782	Elixia sp. ASU-THNIII-11177
1411646	Klebsiella pneumoniae IS10
1411647	Morganella morganii IS15
1411645	Escherichia coli IS9
1411648	Tolypocladium sp. JDF-2013a
1411649	Tolypocladium sp. JDF-2013b
1758360	Lactarius pegleri
675547	Janibacter sp. UII
715452	Calonectria sp. CBS 111041
93867	Acaulospora colossica spore IVB.6
93866	uncultured fungus from Acaulospora colossica spore IVB.5
93865	Acaulospora colossica spore IVB.4
93864	uncultured ascomycete from Acaulospora colossica spore IVB.3-2
93863	Acaulospora colossica spore IVB.20
93862	uncultured fungus from Acaulospora colossica spore IVB.17
93861	uncultured fungus from Acaulospora colossica spore IVB.12
93860	Acaulospora colossica spore IVB.11
93869	Acaulospora colossica spore VA.6
93868	uncultured fungus from Acaulospora colossica spore IVB.7
1775128	Phomopsis sp. MF05
1775127	Nigrospora sp. MF01
169999	Phakopsora meibomiae
422491	Cystofilobasidiales sp. LM612
422490	unclassified Cystofilobasidiales
422493	Diademaceae sp. LM247
422492	unclassified Diademaceae
422495	Dipodascaceae sp. LM267
422494	Dipodascaceae sp. LM136
422497	Dipodascaceae sp. LM380
422496	Dipodascaceae sp. LM375
1183291	Norovirus Hu/GII.4/NSW673P/2010/AU
1183290	Norovirus Hu/GII.4/NSW673H/2010/AU
1183293	Norovirus Hu/GII.4/NSW681I/2010/AU
1183292	Norovirus Hu/GII.4/NSW674U/2009/AU
1183295	Norovirus Hu/GII.4/NSW721I/2007/AU
1183294	Norovirus Hu/GII.4/NSW688R/2010/AU
1183297	Norovirus Hu/GII.4/NSW8190/2009/AU
1183296	Norovirus Hu/GII.4/NSW764Q/2008/AU
1183299	Norovirus Hu/GII.4/NSW827D/2010/AU
1183298	Norovirus Hu/GII.4/NSW821J/2009/AU
1324503	Guignardia sp. AX162
1636687	Micrococcus sp. af3
1636686	Micrococcus sp. Bc7
1636683	Microbacterium sp. at5
1636682	Microbacterium sp. at4
1636681	Microbacterium sp. at3
1636680	Microbacterium sp. af6
757774	fungal sp. ARIZ AZ0310B
757777	fungal sp. ARIZ AZ0314
757770	fungal sp. ARIZ AZ0307
757772	fungal sp. ARIZ AZ0309
757779	fungal sp. ARIZ AZ0316
757778	fungal sp. ARIZ AZ0315
336763	Podocrella harposporifera
336762	Hypocrella panamensis
1611484	Loweporus sp. 2-LS-1-A-39-A.1
594822	fungal sp. ARIZ B400cC
594823	fungal sp. ARIZ B401cA
594820	fungal sp. ARIZ B400cA
594821	fungal sp. ARIZ B400cB
594826	fungal sp. ARIZ B402
594827	fungal sp. ARIZ B402cA
594828	fungal sp. ARIZ B402cB
594829	fungal sp. ARIZ B403
441467	Micromonospora sp. 173708
441466	Micromonospora sp. 173702
441465	Micromonospora sp. 173616
441464	Micromonospora sp. 173605
441463	Micromonospora sp. 173544
441462	Micromonospora sp. 173435
441461	Micromonospora sp. 173406
441460	Micromonospora sp. 173401
441469	Micromonospora sp. 173744
441468	Micromonospora sp. 173709
652177	Phaeomoniella sp. 11263
1305517	Influenza A virus (A/Vermont/23/2009(H1N1))
652176	Phaeomoniella sp. 11247
446163	uncultured ectomycorrhiza (Russula albidula)
446162	uncultured ectomycorrhiza (Russula cremoricolor)
446161	environmental samples
446160	uncultured ectomycorrhiza (Hygrophorus eburneus)
446167	uncultured ectomycorrhiza (Russula brevipes var. acrior)
446165	uncultured ectomycorrhiza (Russula brevipes)
446164	uncultured ectomycorrhiza (Russula basifurcata)
446169	uncultured ectomycorrhiza (Peziza infossa)
446168	environmental samples
144209	Mandrillus cytomegalovirus
144208	Mandrillus herpesvirus 2
652174	Phaeomoniella sp. 11222
334433	Byssochlamys verrucosa
1549745	Ralstonia sp. sk41
1549744	Pseudomonas sp. sk42
1549746	fungal sp. VMP-2
686259	Acinetobacter sp. Tr-130
652171	Phaeomoniella sp. 11184
1113547	Salmonella phage 9NA
652170	Phaeomoniella sp. 11164
683150	Arthrobacter nitrophenolicus
683157	Arthrobacter sp. NyZ415
683159	Boletus sp. LQ42
683158	Didymellaceae
592259	Influenza A virus (A/Kisumu/7603/2008(H3N2))
592258	Influenza A virus (A/Kisumu/7602/2008(H3N2))
592257	Influenza A virus (A/Kisumu/7601/2008(H3N2))
592256	Influenza A virus (A/Kisumu/7600/2008(H3N2))
592255	Influenza A virus (A/Kisumu/7599/2008(H3N2))
592254	Influenza A virus (A/Kisumu/7598/2008(H3N2))
592253	Influenza A virus (A/Kisumu/7597/2008(H3N2))
592252	Influenza A virus (A/Kisumu/6543/2008(H1N1))
592251	Influenza A virus (A/Kisii/7577/2008(H1N1))
592250	Influenza A virus (A/Kisii/7576/2008(H1N1))
904801	Staphylococcus aureus subsp. aureus CO-86
904800	Staphylococcus aureus subsp. aureus CO-85
904804	Staphylococcus aureus subsp. aureus AA-27
1391380	Terrabacter sp. A2-72
747500	Floromycetaceae
1715149	Pseudomonas sp. HMSC072F09
42460	Microbacterium ammoniaphilum
42465	Zalerion arboricola
42464	Zalerion
401473	Bifidobacterium dentium Bd1
42469	Protomyces gravidus
401478	Influenza A virus (A/Istanbul/CTF-122/2005(H1N1))
401479	Influenza A virus (A/Istanbul/CTF-76/2004(H1N1))
159297	Chytridium polysiphoniae
190079	Laurobasidium lauri
190078	Laurobasidium
190075	Coniodictyum chevalieri
190074	Coniodictyum
190077	Clinoconidium bullatum
190076	Clinoconidium
190071	Kordyana
190070	Dicellomyces scirpi
190073	Kordyana tradescantiae
190072	Kordyana celebensis
1412838	Escherichia coli FCH1
1412839	Escherichia coli FCP1
179179	bromate-reducing bacterium B7
161716	Foot-and-mouth disease virus K/37/84/A
1034678	Influenza A virus (A/Bucuresti/51194/2011(H1N1))
1034679	Influenza A virus (A/Calarasi/2225/2011(H1N1))
1034672	Influenza A virus (A/Timis/49900/2011(H1N1))
1034673	Influenza A virus (A/Maramures/49545/2011(H1N1))
1034670	Influenza A virus (A/Bucuresti/50820/2011(H1N1))
1034671	Influenza A virus (A/Bucuresti/50823/2011(H1N1))
1034676	Influenza A virus (A/Salaj/51422/2011(H1N1))
1034677	Influenza A virus (A/Mures/51180/2011(H1N1))
1034674	Influenza A virus (A/Bucuresti/48333/2011(H1N1))
1034675	Influenza A virus (A/Cluj/51505/2011(H1N1))
992918	Micromonospora sp. TJ-32
992919	Micromonospora sp. TJ-35
478852	Picornaviridae str. g2-3
478853	Picornaviridae str. 06-646
478850	Picornaviridae str. g2-4
478851	Picornaviridae str. 06-582
389138	Bat coronavirus (BtCoV/A619/2005)
389139	Bat coronavirus (BtCoV/A620/2005)
478854	Picornaviridae str. g2-8
478855	Picornaviridae str. 06-738
389134	Bat coronavirus (BtCoV/A504/2005)
389135	Bat coronavirus (BtCoV/A535/2005)
389136	Bat coronavirus (BtCoV/A604/2005)
389137	Bat coronavirus (BtCoV/A613/2005)
1510066	Influenza A virus (A/Beijing/110/2014(H3N2))
1510068	Influenza A virus (A/Beijing/11024/2013(H3N2))
1510069	Influenza A virus (A/Beijing/11028/2013(H3N2))
735515	Influenza A virus (A/Singapore/GN285/2009(H1N1))
735514	uncultured Serinicoccus sp.
735513	environmental samples
1351391	Sphingomonas sp. Z203
1351390	Sphingomonas sp. Z2
1351393	Sphingomonas sp. Z26
1351392	Sphingomonas sp. Z237_1
1351395	Sphingomonas sp. Z270_2
1351394	Sphingomonas sp. Z270_1
1351397	Sphingomonas sp. Z283
1351396	Sphingomonas sp. Z270_3
1351399	Sphingomonas sp. Z38
1351398	Sphingomonas sp. Z328
1329096	Sphingomonas sp. L7-6
873920	Influenza A virus (A/England/93000118/2009(H1N1))
335890	fungal sp. VD34
335891	fungal sp. VE4
335892	fungal sp. VB11
335893	fungal sp. VD27
335894	fungal sp. VAC8
335895	fungal sp. VD5
335896	fungal sp. V-K3
335897	fungal sp. V-L4
335898	fungal sp. V-G5
335899	fungal sp. V-H2
1792519	Brevibacterium sp. ZT-27
441984	Yellow-bellied weasel coronavirus Guangxi/D726/2005
441985	Guangxi coronaviridae
441980	Flying squirrel coronavirus Guangxi/E001/2006
441981	Lesser Indian civet coronavirus Guangxi/D690/2005
441982	Masked palm civet coronavirus Guangxi/D728/2005
441983	Siberian weasel coronavirus Guangxi/D1000/2006
913969	Knoellia flava
1228859	Influenza A virus (A/mallard/Interior Alaska/9BM8470R0/2009(mixed))
1228858	Influenza A virus (A/mallard/Interior Alaska/9BM8469R0/2009(mixed))
1536548	Trametopsis cf. cervina RG-2014
1228857	Influenza A virus (A/mallard/Interior Alaska/9BM8468R0/2009(N6))
1228856	Influenza A virus (A/mallard/Interior Alaska/9BM1814R1/2009(mixed))
1228853	Influenza A virus (A/swine/Ohio/11SW227/2011(mixed))
1228852	Influenza A virus (A/swine/Ohio/11SW226/2011(mixed))
147475	Glomus sp. Ck
147474	Glomus sp. Ci
147477	Glomus sp. Cm
147476	Glomus sp. Cl
147473	Glomus sp. Ch
147479	Glomus sp. Db
147478	Glomus sp. Co
1536541	Polyporales sp. 'phlebioid clade' TC104
