Env	SourceSink
SRS015941	Oral	source
SRS015960	Gut	source
SRS015985	Oral	source
SRS015989	Oral	source
SRS015996	Skin	source
SRS016002	Oral	source
SRS016018	Gut	source
SRS016033	Skin	source
SRS016037	Oral	source
SRS016039	Oral	source
SRS016043	Oral	source
SRS016053	Skin	source
SRS016056	Gut	source
SRS016059	Oral	source
SRS016063	Oral	source
SRS016071	Oral	source
SRS016086	Oral	source
SRS016092	Oral	source
SRS016095	Gut	source
SRS016111	Vaginal	source
SRS016132	Gut	source
SRS016133	Oral	source
SRS016139	Oral	source
SRS016188	Skin	source
SRS016191	Vaginal	source
SRS016196	Oral	source
SRS016200	Oral	source
SRS016203	Gut	source
SRS016225	Oral	source
SRS016267	Gut	source
SRS016292	Skin	source
SRS016297	Oral	source
SRS016312	Skin	source
SRS016319	Oral	source
SRS016322	Oral	source
SRS016331	Oral	source
SRS016335	Gut	source
SRS016342	Oral	source
SRS016349	Oral	source
SRS016360	Oral	source
SRS016381	Gut	source
SRS016393	Oral	source
SRS016434	Skin	source
SRS016437	Gut	source
SRS016438	Gut	source
SRS016456	Oral	source
SRS016474	Oral	source
SRS016495	Gut	source
SRS016501	Oral	source
SRS016503	Oral	source
SRS016513	Skin	source
SRS016516	Vaginal	source
SRS016517	Gut	source
SRS016529	Oral	source
SRS016533	Oral	source
SRS016541	Oral	source
SRS016553	Skin	source
SRS016559	Vaginal	source
SRS016569	Oral	source
SRS016575	Oral	source
SRS016581	Skin	source
SRS016584	Vaginal	source
SRS016600	Oral	source
SRS016629	Gut	source
SRS016647	Oral	source
SRS016653	Oral	source
SRS016665	Oral	source
SRS016683	Skin	source
SRS016692	Vaginal	source
SRS016740	Oral	source
SRS016742	Oral	source
SRS016746	Oral	source
SRS016752	Skin	source
SRS016753	Gut	source
SRS016815	Oral	source
SRS016840	Gut	source
SRS016858	Oral	source
SRS016876	Oral	source
SRS016897	Gut	source
SRS016944	Skin	source
SRS016954	Gut	source
SRS016969	Oral	source
SRS016989	Gut	source
SRS016990	Gut	source
SRS017007	Oral	source
SRS017013	Oral	source
SRS017025	Oral	source
SRS017044	Skin	source
SRS017076	Oral	source
SRS017080	Oral	source
SRS017103	Gut	source
SRS017120	Oral	source
SRS017127	Oral	source
SRS017139	Oral	source
SRS017156	Skin	source
SRS017191	Gut	source
SRS017209	Oral	source
SRS017215	Oral	source
SRS017227	Oral	source
SRS017244	Skin	source
SRS017247	Gut	source
SRS017248	Gut	source
SRS017279	Oral	source
SRS017303	Skin	source
SRS017304	Oral	source
SRS017307	Gut	source
SRS017324	Oral	source
SRS017326	Oral	source
SRS017336	Skin	source
SRS017375	Gut	source
SRS017381	Oral	source
SRS017383	Oral	source
SRS017433	Gut	source
SRS017439	Oral	source
SRS017441	Oral	source
SRS017445	Oral	source
SRS017451	Skin	source
SRS017497	Vaginal	source
SRS017511	Oral	source
SRS017517	Skin	source
SRS017520	Vaginal	source
SRS017521	Gut	source
SRS017533	Oral	source
SRS017537	Oral	source
SRS017622	Gut	source
SRS017630	Oral	source
SRS017634	Oral	source
SRS017640	Skin	source
SRS017687	Oral	source
SRS017697	Skin	source
SRS017700	Vaginal	source
SRS017701	Gut	source
SRS017713	Oral	source
SRS017745	Gut	source
SRS017751	Oral	source
SRS017753	Oral	source
SRS017757	Oral	source
SRS017763	Skin	source
SRS017788	Oral	source
SRS017808	Oral	source
SRS017810	Oral	source
SRS017814	Oral	source
SRS017820	Skin	source
SRS017821	Gut	source
SRS017849	Skin	source
SRS017851	Skin	source
SRS017859	Gut	source
SRS017916	Gut	source
SRS018049	Gut	source
SRS018055	Oral	source
SRS018061	Oral	source
SRS018133	Gut	source
SRS018145	Oral	source
SRS018149	Oral	source
SRS018157	Oral	source
SRS018300	Oral	source
SRS018312	Skin	source
SRS018313	Gut	source
SRS018329	Oral	source
SRS018337	Oral	source
SRS018351	Gut	source
SRS018357	Oral	source
SRS018359	Oral	source
SRS018369	Skin	source
SRS018394	Oral	source
SRS018427	Gut	source
SRS018439	Oral	source
SRS018463	Skin	source
SRS018473	Oral	source
SRS018479	Oral	source
SRS018488	Vaginal	source
SRS018501	Oral	source
SRS018513	Oral	source
SRS018535	Vaginal	source
SRS018536	Skin	source
SRS018541	Gut	source
SRS018569	Oral	source
SRS018573	Oral	source
SRS018575	Gut	source
SRS018585	Skin	source
SRS018591	Oral	source
SRS018594	Oral	source
SRS018602	Oral	source
SRS018606	Gut	source
SRS018610	Oral	source
SRS018612	Oral	source
SRS018616	Oral	source
SRS018623	Gut	source
SRS018656	Gut	source
SRS018661	Oral	source
SRS018665	Oral	source
SRS018671	Skin	source
SRS018679	Oral	source
SRS018683	Oral	source
SRS018691	Oral	source
SRS018732	Gut	source
SRS018739	Oral	source
SRS018742	Oral	source
SRS018750	Oral	source
SRS018762	Skin	source
SRS018769	Vaginal	source
SRS018774	Oral	source
SRS018784	Skin	source
SRS018791	Oral	source
SRS018794	Oral	source
SRS018814	Skin	source
SRS018817	Gut	source
SRS018820	Oral	source
SRS018822	Oral	source
SRS018826	Oral	source
SRS018836	Gut	source
SRS018875	Oral	source
SRS018888	Gut	source
SRS018923	Oral	source
SRS018925	Oral	source
SRS018929	Oral	source
SRS018936	Gut	source
SRS018969	Oral	source
SRS018971	Oral	source
SRS018975	Oral	source
SRS018978	Skin	source
SRS018981	Skin	source
SRS018984	Gut	source
SRS019014	Gut	source
SRS019016	Skin	source
SRS019019	Skin	source
SRS019022	Oral	source
SRS019024	Oral	source
SRS019025	Oral	source
SRS019026	Oral	source
SRS019027	Oral	source
SRS019028	Oral	source
SRS019029	Oral	source
SRS019030	Gut	source
SRS019033	Skin	source
SRS019039	Skin	source
SRS019045	Oral	source
SRS019062	Gut	source
SRS019063	Skin	source
SRS019064	Skin	source
SRS019067	Skin	source
SRS019068	Gut	source
SRS019071	Oral	source
SRS019073	Oral	source
SRS019077	Oral	source
SRS019081	Skin	source
SRS019087	Skin	source
SRS019090	Gut	source
SRS019116	Skin	source
SRS019119	Skin	source
SRS019120	Oral	source
SRS019122	Oral	source
SRS019124	Oral	source
SRS019125	Oral	source
SRS019126	Oral	source
SRS019127	Oral	source
SRS019128	Oral	source
SRS019129	Oral	source
SRS019161	Gut	source
SRS019170	Oral	source
SRS019172	Oral	source
SRS019176	Oral	source
