Env	SourceSink
SRS063040	Gut	source
SRS063102	Skin	source
SRS063116	Skin	source
SRS063127	Gut	source
SRS063140	Oral	source
SRS063178	Skin	source
SRS063190	Gut	source
SRS063193	Oral	source
SRS063215	Oral	source
SRS063246	Oral	source
SRS063272	Oral	source
SRS063287	Oral	source
SRS063288	Oral	source
SRS063351	Oral	source
SRS063370	Gut	source
SRS063373	Oral	source
SRS063413	Oral	source
SRS063417	Vaginal	source
SRS063418	Skin	source
SRS063478	Oral	source
SRS063485	Oral	source
SRS063486	Oral	source
SRS063489	Gut	source
SRS063492	Oral	source
SRS063518	Gut	source
SRS063603	Oral	source
SRS063621	Oral	source
SRS063672	Oral	source
SRS063678	Oral	source
SRS063686	Skin	source
SRS063801	Oral	source
SRS063804	Vaginal	source
SRS063813	Gut	source
SRS063823	Oral	source
SRS063858	Oral	source
SRS063871	Oral	source
SRS063912	Skin	source
SRS063928	Gut	source
SRS063929	Oral	source
SRS063985	Gut	source
SRS063999	Oral	source
SRS064014	Oral	source
SRS064022	Oral	source
SRS064097	Skin	source
SRS064158	Oral	source
SRS064197	Oral	source
SRS064219	Oral	source
SRS064225	Vaginal	source
SRS064232	Gut	source
SRS064234	Oral	source
SRS064260	Oral	source
SRS064263	Vaginal	source
SRS064276	Gut	source
SRS064376	Vaginal	source
SRS064382	Vaginal	source
SRS064393	Oral	source
SRS064423	Oral	source
SRS064449	Oral	source
SRS064466	Oral	source
SRS064482	Oral	source
SRS064557	Gut	source
SRS064568	Vaginal	source
SRS064572	Skin	source
SRS064617	Oral	source
SRS064645	Gut	source
SRS064662	Gut	source
SRS064666	Vaginal	source
SRS064704	Vaginal	source
SRS064757	Gut	source
SRS064774	Oral	source
SRS064809	Oral	source
SRS064831	Oral	source
SRS064937	Oral	source
SRS064973	Gut	source
SRS064996	Oral	source
SRS065091	Oral	source
SRS065099	Oral	source
SRS065133	Oral	source
SRS065142	Skin	source
SRS065176	Gut	source
SRS065179	Skin	source
SRS065187	Skin	source
SRS065278	Oral	source
SRS065299	Oral	source
SRS065306	Oral	source
SRS065310	Oral	source
SRS065335	Oral	source
SRS065347	Vaginal	source
SRS065397	Gut	source
SRS065431	Oral	source
SRS065504	Gut	source
SRS065518	Oral	source
SRS065542	Oral	source
SRS065547	Vaginal	source
SRS065720	Oral	source
SRS074586	Gut	source
SRS074592	Oral	source
SRS074598	Oral	source
SRS074663	Vaginal	source
SRS074670	Gut	source
SRS074676	Oral	source
SRS074678	Oral	source
SRS074682	Oral	source
SRS074688	Skin	source
SRS074964	Gut	source
SRS074970	Oral	source
SRS074972	Oral	source
SRS074976	Oral	source
SRS074982	Skin	source
SRS075021	Gut	source
SRS075033	Oral	source
SRS075078	Gut	source
SRS075084	Oral	source
SRS075086	Oral	source
SRS075090	Oral	source
SRS075092	Skin	source
SRS075093	Skin	source
SRS075096	Skin	source
SRS075341	Gut	source
SRS075347	Oral	source
SRS075349	Oral	source
SRS075353	Oral	source
SRS075355	Skin	source
SRS075356	Skin	source
SRS075359	Skin	source
SRS075398	Gut	source
SRS075399	Gut	source
SRS075404	Oral	source
SRS075406	Oral	source
SRS075410	Oral	source
SRS075419	Vaginal	source
SRS075433	Oral	source
SRS075437	Oral	source
SRS075445	Oral	source
SRS075463	Vaginal	source
SRS075716	Gut	source
SRS075765	Oral	source
SRS075767	Oral	source
SRS075771	Oral	source
SRS075773	Gut	source
SRS075778	Skin	source
SRS075813	Oral	source
SRS075815	Oral	source
SRS075819	Oral	source
SRS075821	Gut	source
SRS075826	Skin	source
SRS075829	Vaginal	source
SRS075870	Oral	source
SRS075872	Oral	source
SRS075876	Oral	source
SRS075878	Gut	source
SRS075883	Skin	source
SRS075886	Vaginal	source
SRS075927	Oral	source
SRS075947	Oral	source
SRS075950	Oral	source
SRS075953	Oral	source
SRS075957	Oral	source
SRS075959	Oral	source
SRS075961	Oral	source
SRS075963	Gut	source
SRS075975	Vaginal	source
SRS075977	Vaginal	source
SRS075979	Vaginal	source
SRS075980	Skin	source
SRS075983	Vaginal	source
SRS075984	Gut	source
SRS075987	Oral	source
SRS075989	Oral	source
SRS075993	Oral	source
SRS076756	Gut	source
SRS076761	Skin	source
SRS076764	Oral	source
SRS076766	Oral	source
SRS076770	Oral	source
SRS076804	Gut	source
SRS076809	Skin	source
SRS076812	Vaginal	source
SRS076815	Oral	source
SRS076817	Oral	source
SRS076821	Oral	source
SRS076865	Skin	source
SRS076868	Oral	source
SRS076870	Oral	source
SRS076874	Oral	source
SRS076876	Gut	source
SRS076926	Oral	source
SRS076929	Gut	source
SRS076945	Vaginal	source
SRS076951	Oral	source
SRS076976	Gut	source
SRS076981	Skin	source
SRS077016	Oral	source
SRS077018	Oral	source
SRS077022	Oral	source
SRS077024	Gut	source
SRS077032	Vaginal	source
SRS077075	Oral	source
SRS077085	Skin	source
SRS077086	Gut	source
SRS077092	Oral	source
SRS077095	Oral	source
SRS077104	Oral	source
SRS077115	Skin	source
SRS077117	Gut	source
SRS077127	Gut	source
SRS077187	Oral	source
SRS077194	Gut	source
SRS077206	Vaginal	source
SRS077210	Vaginal	source
SRS077216	Oral	source
SRS077231	Gut	source
SRS077239	Oral	source
SRS077241	Oral	source
SRS077245	Oral	source
SRS077283	Oral	source
SRS077294	Gut	source
SRS077300	Oral	source
SRS077303	Oral	source
SRS077308	Oral	source
SRS077312	Oral	source
SRS077323	Gut	source
SRS077327	Oral	source
SRS077329	Oral	source
SRS077335	Gut	source
SRS077343	Vaginal	source
SRS077364	Gut	source
SRS077384	Oral	source
SRS077386	Oral	source
SRS077390	Oral	source
SRS077392	Gut	source
SRS077397	Skin	source
SRS077400	Vaginal	source
SRS077441	Oral	source
SRS077443	Oral	source
SRS077447	Oral	source
SRS077453	Skin	source
SRS077454	Gut	source
SRS077491	Oral	source
SRS077501	Skin	source
SRS077502	Gut	source
SRS077508	Oral	source
SRS077520	Oral	source
SRS077533	Gut	source
SRS077540	Skin	source
SRS077545	Oral	source
SRS077549	Oral	source
SRS077552	Gut	source
SRS077561	Skin	source
SRS077568	Oral	source
SRS077571	Oral	source
SRS077589	Gut	source
SRS077633	Oral	source
SRS077635	Oral	source
SRS077639	Oral	source
SRS077641	Gut	source
SRS077646	Skin	source
SRS077649	Vaginal	source
SRS077730	Gut	source
SRS077731	Gut	source
SRS077736	Oral	source
SRS077738	Oral	source
SRS077744	Skin	source
SRS077745	Skin	source
SRS077751	Vaginal	source
SRS077753	Gut	source
SRS077763	Oral	source
SRS077767	Oral	source
SRS077793	Vaginal	source
SRS077849	Gut	source
SRS077855	Oral	source
SRS077857	Oral	source
SRS077861	Oral	source
SRS077863	Skin	source
SRS077864	Skin	source
SRS077916	Oral	source
SRS077918	Oral	source
SRS077922	Oral	source
SRS077991	Gut	source
SRS077997	Oral	source
SRS077999	Oral	source
SRS078003	Oral	source
SRS078176	Gut	source
SRS078177	Gut	source
SRS078182	Oral	source
SRS078197	Vaginal	source
SRS078211	Oral	source
SRS078215	Oral	source
SRS078223	Oral	source
SRS078235	Skin	source
SRS078241	Vaginal	source
SRS078242	Gut	source
SRS078248	Oral	source
SRS078250	Oral	source
SRS078257	Skin	source
SRS078260	Skin	source
SRS078263	Vaginal	source
SRS078419	Gut	source
SRS078425	Oral	source
SRS078427	Oral	source
SRS078431	Oral	source
SRS078433	Skin	source
SRS078434	Skin	source
SRS078665	Gut	source
SRS078671	Oral	source
SRS078673	Oral	source
SRS078677	Oral	source
SRS078679	Skin	source
SRS078683	Skin	source
SRS078686	Vaginal	source
SRS078733	Oral	source
SRS078738	Oral	source
SRS078741	Skin	source
SRS078744	Skin	source
SRS078775	Oral	source
SRS079308	Oral	source
SRS097866	Oral	source
SRS097867	Oral	source
SRS097871	Oral	source
SRS097885	Vaginal	source
SRS097887	Vaginal	source
SRS097889	Gut	source
SRS097895	Oral	source
SRS097898	Oral	source
SRS097905	Oral	source
SRS097907	Oral	source
SRS097912	Oral	source
SRS097914	Oral	source
SRS097918	Oral	source
SRS097920	Gut	source
SRS097925	Skin	source
SRS097958	Gut	source
SRS097966	Oral	source
SRS097968	Oral	source
SRS097972	Oral	source
SRS098033	Skin	source
SRS098039	Vaginal	source
SRS098045	Oral	source
SRS098049	Oral	source
SRS098057	Oral	source
SRS098061	Gut	source
SRS098065	Oral	source
SRS098067	Oral	source
SRS098071	Oral	source
SRS098073	Gut	source
SRS098078	Skin	source
SRS098081	Vaginal	source
SRS098482	Oral	source
SRS098498	Oral	source
SRS098502	Oral	source
SRS098514	Gut	source
SRS098530	Vaginal	source
SRS098535	Oral	source
SRS098567	Oral	source
SRS098571	Gut	source
SRS098585	Vaginal	source
SRS098587	Vaginal	source
SRS098602	Skin	source
SRS098612	Oral	source
SRS098616	Oral	source
SRS098618	Oral	source
SRS098620	Oral	source
SRS098624	Oral	source
SRS098626	Oral	source
SRS098640	Vaginal	source
SRS098642	Vaginal	source
SRS098644	Gut	source
SRS098655	Gut	source
SRS098704	Oral	source
SRS098706	Oral	source
SRS098717	Gut	source
SRS098735	Oral	source
SRS098748	Gut	source
SRS098815	Vaginal	source
SRS098818	Oral	source
SRS098820	Oral	source
SRS098824	Oral	source
SRS098827	Gut	source
SRS098842	Vaginal	source
SRS098848	Oral	source
SRS098860	Oral	source
SRS098867	Oral	source
SRS098869	Oral	source
SRS098881	Gut	source
SRS098886	Oral	source
SRS099357	Skin	source
SRS100021	Gut	source
SRS100027	Oral	source
SRS100029	Oral	source
SRS100033	Oral	source
SRS100036	Skin	source
SRS100039	Skin	source
SRS100907	Gut	source
SRS101268	Gut	source
SRS101280	Oral	source
SRS101376	Gut	source
SRS101382	Oral	source
SRS101384	Oral	source
SRS101388	Oral	source
SRS101433	Gut	source
SRS101439	Oral	source
SRS101441	Oral	source
SRS101445	Oral	source
SRS101448	Skin	source
SRS101451	Skin	source
SRS101454	Vaginal	source
SRS102808	Oral	source
SRS102810	Oral	source
SRS102814	Oral	source
SRS102816	Skin	source
SRS102817	Skin	source
SRS102820	Skin	source
SRS102823	Vaginal	source
SRS103938	Vaginal	source
SRS103943	Oral	source
SRS103959	Skin	source
SRS103964	Vaginal	source
SRS103971	Oral	source
SRS103974	Oral	source
SRS103983	Oral	source
SRS103987	Gut	source
SRS104036	Gut	source
SRS104039	Oral	source
SRS104041	Oral	source
SRS104045	Oral	source
SRS104084	Gut	source
SRS104087	Oral	source
SRS104089	Oral	source
SRS104093	Oral	source
SRS104102	Vaginal	source
SRS1041031	Gut	source
SRS1041032	Gut	source
SRS1041033	Gut	source
SRS1041036	Gut	source
SRS1041037	Gut	source
SRS1041038	Gut	source
SRS1041039	Gut	source
SRS1041090	Gut	source
SRS1041091	Gut	source
SRS1041092	Gut	source
SRS1041093	Gut	source
SRS1041094	Gut	source
SRS1041095	Gut	source
SRS1041112	Gut	source
SRS1041113	Gut	source
SRS1041114	Oral	source
SRS1041115	Oral	source
SRS1041116	Gut	source
SRS1041117	Oral	source
SRS1041118	Gut	source
SRS1041119	Oral	source
SRS1041120	Oral	source
SRS1041121	Oral	source
SRS1041122	Gut	source
SRS1041123	Oral	source
SRS1041124	Gut	source
SRS1041126	Skin	source
SRS1041127	Vaginal	source
SRS1041129	Gut	source
SRS1041130	Gut	source
SRS1041132	Gut	source
SRS1041133	Gut	source
SRS1041134	Gut	source
SRS1041136	Gut	source
SRS1041137	Gut	source
SRS1041138	Gut	source
SRS1041139	Gut	source
SRS1041140	Gut	source
SRS1041141	Gut	source
SRS1041142	Gut	source
SRS1041143	Gut	source
SRS1041144	Gut	source
SRS1041145	Gut	source
SRS1041146	Gut	source
SRS1041147	Gut	source
SRS1041149	Gut	source
SRS1041150	Oral	source
SRS1041151	Oral	source
SRS1041153	Oral	source
SRS1041154	Skin	source
SRS1041155	Vaginal	source
SRS1041157	Gut	source
SRS1041159	Oral	source
SRS1041160	Vaginal	source
SRS1041161	Oral	source
SRS1041163	Vaginal	source
SRS1041164	Gut	source
SRS1041169	Oral	source
SRS1041170	Oral	source
SRS1041173	Oral	source
SRS1041175	Vaginal	source
SRS1041181	Oral	source
SRS1041182	Oral	source
SRS1041183	Oral	source
SRS1041185	Vaginal	source
SRS104155	Skin	source
SRS104165	Oral	source
SRS104169	Oral	source
SRS104177	Oral	source
SRS104195	Vaginal	source
SRS104197	Gut	source
SRS104259	Oral	source
SRS104269	Skin	source
SRS104275	Oral	source
SRS104279	Oral	source
SRS104282	Oral	source
SRS104285	Oral	source
SRS104287	Oral	source
SRS104291	Oral	source
SRS104302	Skin	source
SRS104309	Vaginal	source
SRS104311	Gut	source
SRS104314	Oral	source
SRS104316	Oral	source
SRS104320	Oral	source
SRS104327	Gut	source
SRS104368	Oral	source
SRS104384	Oral	source
SRS104388	Oral	source
SRS104400	Gut	source
SRS104416	Vaginal	source
SRS104470	Skin	source
SRS104476	Oral	source
SRS104478	Oral	source
SRS104485	Gut	source
SRS104497	Vaginal	source
SRS104499	Vaginal	source
SRS104501	Vaginal	source
SRS104519	Oral	source
SRS104521	Oral	source
SRS104539	Oral	source
SRS104636	Gut	source
SRS104641	Skin	source
SRS104644	Vaginal	source
SRS104647	Oral	source
SRS104649	Oral	source
SRS104653	Oral	source
SRS104693	Gut	source
SRS104701	Vaginal	source
SRS104704	Oral	source
SRS104706	Oral	source
SRS104711	Oral	source
SRS104822	Skin	source
SRS104830	Oral	source
SRS104842	Oral	source
SRS104912	Gut	source
SRS104915	Oral	source
SRS104921	Oral	source
SRS104927	Skin	source
SRS104962	Oral	source
SRS104964	Oral	source
SRS104968	Oral	source
SRS104974	Skin	source
SRS104975	Gut	source
SRS105068	Oral	source
SRS105070	Oral	source
SRS105074	Oral	source
SRS105080	Skin	source
SRS105082	Gut	source
SRS105087	Oral	source
SRS105091	Oral	source
SRS105100	Oral	source
SRS105115	Oral	source
SRS105117	Oral	source
SRS105121	Oral	source
SRS105128	Skin	source
SRS105136	Oral	source
SRS105140	Oral	source
SRS105148	Oral	source
SRS105153	Gut	source
SRS105169	Vaginal	source
SRS1054691	Gut	source
SRS1054712	Oral	source
SRS1054716	Gut	source
SRS1054853	Oral	source
SRS1054881	Oral	source
SRS1054927	Vaginal	source
SRS1054928	Gut	source
SRS1054929	Gut	source
SRS1054934	Oral	source
SRS1055018	Oral	source
SRS1055019	Skin	source
SRS1055020	Oral	source
SRS1055021	Vaginal	source
SRS1055022	Gut	source
SRS1055023	Oral	source
SRS1055025	Oral	source
SRS1055026	Oral	source
SRS1055028	Oral	source
SRS1055030	Oral	source
SRS1055032	Skin	source
SRS1055033	Oral	source
SRS1055034	Gut	source
SRS1055035	Oral	source
SRS1055036	Oral	source
SRS1055037	Oral	source
SRS1055038	Gut	source
SRS1055039	Oral	source
SRS1055040	Oral	source
SRS1055041	Skin	source
SRS1055042	Oral	source
SRS1055043	Gut	source
SRS1055044	Vaginal	source
SRS1055045	Skin	source
SRS1055046	Oral	source
SRS1055047	Oral	source
SRS1055048	Oral	source
SRS1055049	Gut	source
SRS1055050	Skin	source
SRS1055051	Vaginal	source
SRS1055054	Oral	source
SRS1055055	Oral	source
SRS1055056	Gut	source
SRS1055057	Skin	source
SRS1055058	Vaginal	source
SRS1055059	Oral	source
SRS1055060	Oral	source
SRS1055061	Oral	source
SRS1055063	Oral	source
SRS1055064	Oral	source
SRS1055065	Oral	source
SRS1055066	Vaginal	source
SRS1055067	Gut	source
SRS1055069	Gut	source
SRS1055071	Oral	source
SRS1055072	Oral	source
SRS1055073	Oral	source
SRS1055074	Skin	source
SRS1055075	Vaginal	source
SRS1055076	Gut	source
SRS1055078	Oral	source
SRS1055080	Oral	source
SRS1055081	Skin	source
SRS1055082	Vaginal	source
SRS1055083	Gut	source
SRS1055084	Oral	source
SRS1055085	Oral	source
SRS1055086	Oral	source
SRS1055087	Skin	source
SRS1055088	Vaginal	source
SRS1055090	Oral	source
SRS1055091	Oral	source
SRS1055092	Skin	source
SRS1055094	Vaginal	source
SRS1055095	Gut	source
SRS1055097	Oral	source
SRS1055098	Oral	source
SRS1055099	Gut	source
SRS1055100	Oral	source
SRS1055101	Oral	source
SRS1055102	Skin	source
SRS1055103	Vaginal	source
SRS140492	Gut	source
SRS140513	Gut	source
SRS140534	Vaginal	source
SRS140645	Gut	source
SRS140651	Oral	source
SRS140653	Oral	source
SRS140663	Skin	source
SRS140666	Vaginal	source
SRS142483	Oral	source
SRS142501	Vaginal	source
SRS142503	Gut	source
SRS142521	Vaginal	source
SRS142527	Oral	source
SRS142531	Oral	source
SRS142542	Gut	source
SRS142545	Oral	source
SRS142547	Oral	source
SRS142551	Oral	source
SRS142557	Skin	source
SRS142560	Vaginal	source
SRS142599	Gut	source
SRS142602	Oral	source
SRS142608	Oral	source
SRS142618	Gut	source
SRS142660	Oral	source
SRS142664	Oral	source
SRS142680	Oral	source
SRS142710	Vaginal	source
SRS142712	Gut	source
SRS142781	Gut	source
SRS142787	Oral	source
SRS142791	Oral	source
SRS142879	Oral	source
SRS142883	Oral	source
SRS142890	Gut	source
SRS142896	Oral	source
SRS142907	Oral	source
SRS142921	Gut	source
SRS142923	Gut	source
SRS142928	Skin	source
SRS142936	Oral	source
SRS142957	Vaginal	source
SRS142959	Vaginal	source
SRS142965	Oral	source
SRS142968	Oral	source
SRS142973	Oral	source
SRS142975	Oral	source
SRS142980	Gut	source
SRS143014	Vaginal	source
SRS143016	Vaginal	source
SRS143022	Oral	source
SRS143032	Oral	source
SRS143036	Oral	source
SRS143037	Oral	source
SRS143039	Oral	source
SRS143050	Skin	source
SRS143062	Oral	source
SRS143068	Oral	source
SRS143070	Gut	source
SRS143085	Gut	source
SRS143088	Oral	source
SRS143090	Oral	source
SRS143094	Oral	source
SRS143100	Skin	source
SRS143135	Oral	source
SRS143137	Oral	source
SRS143141	Oral	source
SRS143147	Skin	source
SRS143148	Gut	source
SRS143181	Gut	source
SRS143210	Oral	source
SRS143214	Oral	source
SRS143216	Oral	source
SRS143218	Oral	source
SRS143228	Skin	source
SRS143231	Oral	source
SRS143233	Oral	source
SRS143247	Vaginal	source
SRS143253	Oral	source
SRS143290	Oral	source
SRS143310	Oral	source
SRS143340	Vaginal	source
SRS143342	Gut	source
SRS143354	Oral	source
SRS143356	Oral	source
SRS143360	Oral	source
SRS143372	Gut	source
SRS143378	Vaginal	source
SRS143415	Skin	source
SRS143417	Gut	source
SRS143423	Oral	source
SRS143427	Oral	source
SRS143450	Oral	source
SRS143452	Oral	source
SRS143462	Skin	source
SRS143465	Vaginal	source
SRS143466	Gut	source
SRS143509	Oral	source
SRS143523	Gut	source
SRS143529	Oral	source
SRS143537	Oral	source
SRS143565	Skin	source
SRS143566	Skin	source
SRS143596	Vaginal	source
SRS143598	Gut	source
SRS143604	Oral	source
SRS143608	Oral	source
SRS143616	Oral	source
SRS143678	Oral	source
SRS143680	Oral	source
SRS143684	Oral	source
SRS143690	Skin	source
SRS143722	Gut	source
SRS143726	Oral	source
SRS143728	Oral	source
SRS143729	Oral	source
SRS143732	Oral	source
SRS143738	Skin	source
SRS143739	Vaginal	source
SRS143747	Oral	source
SRS143751	Oral	source
SRS143756	Oral	source
SRS143759	Oral	source
SRS143762	Oral	source
SRS143776	Vaginal	source
SRS143778	Vaginal	source
SRS143780	Gut	source
SRS143832	Oral	source
SRS143841	Skin	source
SRS143850	Oral	source
SRS143851	Oral	source
SRS143872	Oral	source
SRS143876	Gut	source
SRS143879	Oral	source
SRS143881	Oral	source
SRS143885	Oral	source
SRS143891	Skin	source
SRS143894	Vaginal	source
SRS143895	Gut	source
SRS143991	Gut	source
SRS143996	Oral	source
SRS144000	Oral	source
SRS144007	Gut	source
SRS144014	Oral	source
SRS144017	Oral	source
SRS144026	Oral	source
SRS144038	Skin	source
SRS144090	Oral	source
SRS144092	Oral	source
SRS144096	Oral	source
SRS144102	Skin	source
SRS144113	Oral	source
SRS144116	Oral	source
SRS144121	Oral	source
SRS144124	Oral	source
SRS144135	Gut	source
SRS144140	Oral	source
SRS144144	Oral	source
SRS144183	Gut	source
SRS144194	Oral	source
SRS144196	Oral	source
SRS144219	Vaginal	source
SRS144237	Oral	source
SRS144297	Gut	source
SRS144300	Oral	source
SRS144302	Oral	source
SRS144306	Oral	source
SRS144312	Skin	source
SRS144362	Gut	source
SRS144368	Oral	source
SRS144372	Oral	source
SRS144374	Oral	source
SRS144376	Oral	source
SRS144378	Oral	source
SRS144380	Oral	source
SRS144382	Oral	source
SRS144393	Gut	source
SRS144398	Oral	source
SRS144402	Oral	source
SRS144408	Skin	source
SRS144424	Oral	source
SRS144427	Oral	source
SRS144494	Oral	source
SRS144506	Gut	source
SRS144512	Oral	source
SRS144515	Oral	source
SRS144537	Gut	source
SRS144542	Oral	source
SRS144546	Oral	source
SRS144560	Oral	source
SRS144589	Oral	source
SRS144603	Gut	source
SRS144609	Oral	source
SRS144621	Oral	source
SRS144639	Vaginal	source
SRS144644	Oral	source
SRS144646	Oral	source
SRS144649	Oral	source
SRS144669	Oral	source
SRS144674	Oral	source
SRS144694	Vaginal	source
SRS144701	Oral	source
SRS144703	Oral	source
SRS144707	Oral	source
SRS144713	Skin	source
SRS144714	Gut	source
SRS144753	Gut	source
SRS144759	Oral	source
SRS144761	Oral	source
SRS144765	Oral	source
SRS144774	Vaginal	source
SRS145308	Gut	source
SRS145497	Gut	source
SRS145503	Oral	source
SRS145505	Oral	source
SRS145509	Oral	source
SRS145515	Skin	source
SRS145518	Vaginal	source
SRS146731	Skin	source
SRS146738	Oral	source
SRS146746	Oral	source
SRS146750	Oral	source
SRS146761	Skin	source
SRS146764	Gut	source
SRS146767	Oral	source
SRS146769	Oral	source
SRS146773	Oral	source
SRS146779	Skin	source
SRS146785	Oral	source
SRS146797	Oral	source
SRS146812	Gut	source
SRS146813	Gut	source
SRS146818	Skin	source
SRS146824	Oral	source
SRS146826	Oral	source
SRS146830	Oral	source
SRS146832	Gut	source
SRS146847	Vaginal	source
SRS146849	Vaginal	source
SRS146854	Oral	source
SRS146866	Oral	source
SRS146874	Oral	source
SRS146878	Oral	source
SRS146888	Gut	source
SRS146894	Oral	source
SRS146924	Vaginal	source
SRS146979	Oral	source
SRS146989	Skin	source
SRS146996	Oral	source
SRS146999	Oral	source
SRS147022	Gut	source
SRS147039	Gut	source
SRS147045	Oral	source
SRS147049	Oral	source
SRS147057	Oral	source
SRS147076	Oral	source
SRS147088	Gut	source
SRS147094	Oral	source
SRS147106	Oral	source
SRS147120	Oral	source
SRS147122	Oral	source
SRS147126	Oral	source
SRS147128	Oral	source
SRS147134	Skin	source
SRS147139	Gut	source
SRS147140	Oral	source
SRS147144	Oral	source
SRS147149	Oral	source
SRS147151	Oral	source
SRS147168	Skin	source
SRS147175	Vaginal	source
SRS147178	Oral	source
SRS147180	Oral	source
SRS147184	Oral	source
SRS147226	Oral	source
SRS147228	Oral	source
SRS147238	Skin	source
SRS147244	Oral	source
SRS147268	Skin	source
SRS147271	Gut	source
SRS147272	Gut	source
SRS147281	Oral	source
SRS147287	Skin	source
SRS147290	Vaginal	source
SRS147334	Oral	source
SRS147338	Oral	source
SRS147346	Gut	source
SRS147355	Oral	source
SRS147377	Gut	source
SRS147380	Oral	source
SRS147386	Oral	source
SRS147392	Skin	source
SRS147425	Gut	source
SRS147433	Vaginal	source
SRS147436	Oral	source
SRS147438	Oral	source
SRS147442	Oral	source
SRS147445	Gut	source
SRS147466	Oral	source
SRS147541	Oral	source
SRS147547	Oral	source
SRS147556	Vaginal	source
SRS147557	Gut	source
SRS147614	Gut	source
SRS147652	Gut	source
SRS147653	Gut	source
SRS147661	Vaginal	source
SRS147664	Oral	source
SRS147670	Oral	source
SRS147712	Oral	source
SRS147714	Oral	source
SRS147718	Oral	source
SRS147724	Skin	source
SRS147727	Vaginal	source
SRS147745	Oral	source
SRS147766	Gut	source
SRS147871	Oral	source
SRS147880	Vaginal	source
SRS147887	Oral	source
SRS147919	Gut	source
SRS147933	Oral	source
SRS147937	Oral	source
SRS147950	Skin	source
SRS147977	Gut	source
SRS147980	Oral	source
SRS148091	Gut	source
SRS148096	Oral	source
SRS148145	Vaginal	source
SRS148146	Vaginal	source
SRS148147	Vaginal	source
SRS148150	Oral	source
SRS148152	Oral	source
SRS148157	Oral	source
SRS148159	Gut	source
SRS148180	Oral	source
SRS148193	Oral	source
SRS148196	Gut	source
SRS148202	Oral	source
SRS148205	Oral	source
SRS148214	Vaginal	source
SRS148215	Gut	source
SRS148253	Gut	source
SRS148258	Oral	source
SRS148262	Oral	source
SRS148284	Oral	source
SRS148287	Oral	source
SRS148290	Oral	source
SRS148303	Oral	source
SRS148318	Vaginal	source
SRS148319	Gut	source
SRS148361	Oral	source
SRS148363	Oral	source
SRS148367	Oral	source
SRS148373	Skin	source
SRS148408	Oral	source
SRS148414	Oral	source
SRS148420	Skin	source
SRS148423	Vaginal	source
SRS148424	Gut	source
SRS148429	Oral	source
SRS148453	Skin	source
SRS148459	Vaginal	source
SRS148461	Gut	source
SRS148472	Oral	source
SRS148511	Gut	source
SRS148514	Oral	source
SRS148516	Oral	source
SRS148520	Oral	source
SRS148529	Vaginal	source
SRS148676	Oral	source
SRS148721	Gut	source
SRS148724	Oral	source
SRS148726	Oral	source
SRS148730	Oral	source
SRS148736	Skin	source
SRS148771	Oral	source
SRS148773	Oral	source
SRS148777	Oral	source
SRS148783	Skin	source
SRS148784	Gut	source
SRS148817	Gut	source
SRS148820	Oral	source
SRS148822	Oral	source
SRS148826	Oral	source
SRS148832	Skin	source
SRS148835	Vaginal	source
SRS148874	Gut	source
SRS148877	Oral	source
SRS148879	Oral	source
SRS148970	Gut	source
SRS148973	Oral	source
SRS148975	Oral	source
SRS148979	Oral	source
SRS149075	Gut	source
SRS149078	Oral	source
SRS149084	Oral	source
SRS149090	Skin	source
SRS149093	Vaginal	source
SRS149137	Oral	source
SRS149181	Gut	source
SRS149184	Oral	source
SRS149186	Oral	source
SRS149190	Oral	source
SRS149196	Skin	source
SRS149231	Oral	source
SRS149237	Oral	source
SRS149244	Gut	source
SRS149280	Oral	source
SRS149282	Oral	source
SRS149286	Oral	source
SRS149325	Gut	source
SRS149328	Oral	source
SRS149330	Oral	source
SRS149334	Oral	source
SRS149343	Vaginal	source
SRS149486	Oral	source
SRS149488	Oral	source
SRS149492	Oral	source
SRS149579	Oral	source
SRS149581	Oral	source
SRS149585	Oral	source
SRS149594	Vaginal	source
SRS149647	Oral	source
SRS149665	Vaginal	source
SRS149671	Oral	source
SRS149690	Oral	source
SRS149696	Oral	source
SRS149720	Oral	source
SRS149722	Oral	source
SRS149770	Oral	source
SRS149783	Vaginal	source
SRS149784	Gut	source
SRS149878	Vaginal	source
SRS149879	Gut	source
SRS149882	Oral	source
SRS149932	Skin	source
SRS149938	Oral	source
SRS149961	Oral	source
SRS149973	Oral	source
SRS150029	Gut	source
SRS150032	Oral	source
SRS150034	Oral	source
SRS886672	Vaginal	source
SRS886673	Skin	source
SRS886676	Skin	source
SRS886691	Oral	source
SRS886694	Vaginal	source
SRS886697	Vaginal	source
SRS886699	Oral	source
SRS886701	Gut	source
SRS892836	Vaginal	source
SRS892882	Gut	source
SRS893009	Gut	source
SRS893170	Gut	source
SRS893172	Gut	source
SRS893173	Oral	source
SRS893174	Oral	source
SRS893175	Oral	source
SRS893187	Gut	source
SRS893227	Oral	source
SRS893229	Oral	source
SRS893230	Gut	source
SRS893231	Gut	source
SRS893232	Oral	source
SRS893233	Oral	source
SRS893234	Vaginal	source
SRS893251	Skin	source
SRS893252	Gut	source
SRS893253	Gut	source
SRS893254	Oral	source
SRS893255	Oral	source
SRS893256	Gut	source
SRS893257	Oral	source
SRS893258	Oral	source
SRS893259	Gut	source
SRS893260	Oral	source
SRS893262	Vaginal	source
SRS893270	Gut	source
SRS893272	Oral	source
